idx,word,meaning,link
11,용적률,용적률은 대지 내 건축물의 바닥면적을 모두 합친 면적(연면적)의 대지면적에 대한 백분율을 말한다.,https://terms.naver.com/entry.nhn?docId=1826434&cid=42151&categoryId=42151
12,건폐율,"건폐율 산정시 사용되는 대지면적은 건축대상 필지 또는 부지의 면적을 말하며, 건축면적은 건물의 외벽이나 이를 대신하는 기둥의 중심선으로 둘러싸인 부분의 수평투영면적(水平投映面積)을 말한다.<br>대지에 건축물이 둘 이상 있는 경우에는 이들 건축면적의 합계로 한다.",https://terms.naver.com/entry.nhn?docId=1826320&cid=42151&categoryId=42151
13,장기저리 융자지원,일시에 자금을 완납해야 하는 부담이 경감될 수 있도록 생겨난 긴 기간동안 낮은 이자를 조건으로 하는 자금 대출이다.,
14,과밀학급,학급당 학생수가 지나치게 많아 정상적인 수업활동을 전개하기 힘든 학급을 말한다.,https://terms.naver.com/entry.nhn?docId=612371&cid=42126&categoryId=42126
15,SW교육,"소프트웨어(SW) 교육이란, 한글?엑셀 등 컴퓨터를 단순히 활용하는 방법을 익히는 교육이 아니라 다양한 문제의 해결방법을 찾기 위해 ‘컴퓨터’를 기반으로 자료를 수집?분석하고, 문제의 효율적 해결 과정 등을 창조하는 일련의 사고력 교육입니다.",https://www.software.kr/um/um03/um0307/um030702/um030702List.do?s_gubun=BK281#this
16,가족소통프로그램,"정서지원이 필요한 학생의 가족에 대하여 가족 구성원기리의 소통을 원활하게 하고, 서로에 대한 이해의 폭을 넓혀 끈끈한 가족애를 형성할 수 있도록 부모와 자녀 간의 소통 기술 향상을 위한 프로그램이다.",
17,GBC,"현대자동차그룹 글로벌비즈니스센터(GBC)는 2026년 하반기 준공을 목표로 하는 국내 최고층 빌딩이다.<br>GBC는 업무시설, 관광숙박시설, 문화 및 집회시설(공연장, 집회장, 전시장), 관광 휴게시설, 판매시설이 어우러진 대규모 복합시설이다.",https://www.donga.com/news/Opinion/article/all/20200601/101297439/1
18,글로벌 파트너스 센터,"벤처기업과 스타트업 기업의 해외시장 진출을 지원하는 역할로서, 한국기업의 해외진출 뿐만 아니라 해외기업의 한국진출을 지원하는 파트너 역할을 한다.",
19,학교시설 복합화,학교부지에 학교시설과 생활SOC를 복합적으로 설치·운영하여 학생 교육의 질적 향상과 함께 지역 주민의 삶의 질 향상에 기여할 수 있는 지역 공동체 중심시설이다.,"보고서 <생활SOC 사업과 연계한 미래 학교시설 복합화 개선방안>,미래교육환경학회"
20,MICE산업,"마이스는 부가가치가 높은 복합적인 전시 산업을 의미하는 것으로, 전시 이벤트를 언급할 때 자주 등장하는 용어다.<br>마이스(MICE)는 회의(meeting), 포상 관광 또는 인센티브 여행(incentive tour, incentive travel, incentives), 컨벤션(convention), 전시회(exhibition)의 4개 비즈니스 분야를 지칭한다.",https://terms.naver.com/entry.nhn?docId=3556103&cid=42219&categoryId=58628
21,전신주 지하화,"전선을 지하에 묻거나 설치하는 사업으로, 일반적으로 강풍의 뇌우나 강설, 빙설 폭풍 중에 발생될 수 있는 정전에 덜 취약하게끔 만들기 위해, 또 화재를 예방하기 위해 보통 수행된다.",https://ko.wikipedia.org/wiki/%EC%A0%84%EC%84%A0%EB%A5%98_%EC%A7%80%EC%A4%91%ED%99%94
22,지상 공간 공원화,"교통 정체 문제 해결을 위해 도로를 지하화하고, 도로가 있던 부지에 지역 특색에 맞는 혁신지구와 공원 등을 조성하여 주민들을 위한 삶과 쉼터로 활용할 수 있도록 만드는 것이다.",
23,세택(SETECT),"서울무역전시컨벤션센터(서울貿易展示컨벤션센터, Seoul Trade Exhibition Center, 영어 약자 SETEC)는 1999년 5월 4일 개관한 전시장이다. SETEC에서는 건축박람회, 유아박람회, 프랜차이즈 박람회 등 다양한 분야의 전문 전시회 및 이벤트가 연 70여회 이상 개최되며, 연평균 6,000여개의 중소기업이 SETEC에서 개최되는 전시회에 참여하여 판로개척 및 마케팅 활동을 추진하고 있다.","https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%EB%AC%B4%EC%97%AD%EC%A0%84%EC%8B%9C%EC%BB%A8%EB%B2%A4%EC%85%98%EC%84%BC%ED%84%B0
 http://www.setec.or.kr/dis/introduce/setecInfo.do"
