idx,word,meaning,link
11,상권 활성화,재래시장과 상점가 등 다수의 점포가 밀집한 지역의 상권을 활발하게 하는 것이다.,
12,국군재정관리단,"국방부 소속 장병, 군무원 및 부대에 대한 재정지원을 담당하는 부대이다.",https://terms.naver.com/entry.nhn?docId=1203838&cid=40942&categoryId=34709
13,관광자원화,관광잠재력을 지닌 사물과 행동을 볼거리 및 놀거리화 시킴으로써 관광자원에 내재된 가치를 구현시키는 것이다.,
14,전문가노인 일자리 지원 사업,"어르신들의 삶의 질 향상을 위한 장기적인 복지 정책으로, <br>어르신의 취업을 위한 자격증 교육과 사후 관리를 통한 어르신 취업지원사업이다.",
15,철도 지하화,소음ㆍ분진 등을 일으키는 철도를 땅 밑으로 넣고 그 빈 땅을 지역 개발에 쓸 수 있도록 하는 계획이다.,https://www.etoday.co.kr/news/view/1909139
16,국책사업,"사회, 경제 등의 필요성에 따라 해결해야 할 연구 개발 과제 중 국가가 그 목표를 설정하여 관리 · 추진하는 대규모 연구 개발 사업이다.",https://terms.naver.com/entry.nhn?docId=2753883&cid=50307&categoryId=50307
17,고도제한완화,"건축법, 항공법 등 여러 법령에 규정해 놓은 건축물 및 공작물의 높이를 제한하는 규제를 낮추는 것을 말한다. <br>주변에 공항이나 군부대 시설이 산재해 있는 수도권 지역에서는 많은 지역이 비행안전구역으로 고도제한을 받고 있는데, <br>이 때문에 사유재산권 행사와 마찰이 생기고 있다.",https://terms.naver.com/entry.nhn?docId=584871&cid=50301&categoryId=50301
18,상수도 가압장,가압장이란 높은 지대에 살고 있는 주민들이 수돗물을 편리하게 사용할 수 있도록 수압을 높여주는 상수도 시설이다.,
19,문화복합단지,문화 산업과 첨단 산업의 활성화 및 발전을 위해 조성된 산업 단지이다.,
20,스타트업 허브단지,"스타트업, 투자자, 기업가, 언론 등을 한자리에 모아 정보 소통과 협업이 이뤄지도록 하는 강력한 네트워크 활동 지역이다.",
21,청년주택,"정부에서 지원하고 기업에서 개발, 운영하는 임대주택이다.",https://post.naver.com/viewer/postView.nhn?volumeNo=27257851&memberNo=47809952
22,복합환승 센터,"복합환승센터는 신설되는 철도역사와 버스환승정류장을 체계적으로 배치하고, <br>보행동선을 단순화하여 빠르고 편리한 환승이 가능하도록 합니다.",http://www.molit.go.kr/mtc/USR/WPGE0201/m_36796/DTL.jsp
23,한남 뉴타운사업,"한남뉴타운사업은 강북에서 진행되는 규모가 가장 큰 정비 사업 중 하나로, <br>낡은 다가구 및 다세대 주택이 밀집된 한남동과 보광동 일대가 지난 2003년 재정비촉진지구로 지정되었다.",https://www.mk.co.kr/news/realestate/view/2020/02/195153/
24,공관,정부의 고위 관리 등이 공적으로 쓰는 저택을 말한다.,https://terms.naver.com/entry.nhn?docId=1826959&cid=42154&categoryId=42154
